zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,A02650,A00200,N26270,A26270,N03210,A18425,A18300,A04800,N12000,A12000
60190,5,1520,220,1220,70,810,3950,1210,213509,215736,154092,170,2391,190,2652,4857,173326,70,351
60190,6,780,60,700,0,500,2280,790,280426,284111,182104,240,30041,0,5829,3677,249811,100,2107
60191,1,2300,1730,310,230,1350,2650,570,28311,28921,19324,110,517,70,40,504,4944,0,0
60191,2,1980,1100,480,350,1270,3500,1060,72386,73293,54332,220,3212,170,185,846,38728,50,74
60191,3,1240,610,460,150,800,2410,710,76253,77071,57800,130,2902,140,402,1315,52470,60,103
60191,4,840,290,460,70,560,1810,520,72511,73226,55790,90,2307,70,560,1415,54396,0,0
60191,5,1130,210,870,50,750,2840,840,150767,152164,115870,150,4392,120,1360,2293,122501,50,238
60191,6,290,40,250,0,220,760,220,106008,107398,52329,130,27311,0,1618,1082,91322,50,1819
60192,1,1780,1470,190,80,850,1390,240,17773,18167,13391,60,304,70,0,403,2811,0,0
60192,2,1060,620,320,90,580,1730,380,39498,40379,28616,110,867,160,95,822,20804,40,84
60192,3,930,440,360,90,510,1750,480,57816,58832,42880,80,1306,140,399,1475,39804,20,45
60192,4,800,250,450,80,480,1810,560,69513,70417,51625,110,1786,60,774,2031,51281,30,85
60192,5,2300,290,1910,70,1240,6460,2260,326360,328833,261858,290,7008,230,3725,6439,267341,60,336
60192,6,1010,60,920,20,600,3140,1200,325304,328042,243064,230,29541,0,5980,3990,291776,90,1638
60193,1,5460,4230,680,450,2660,5790,1200,62756,64020,40990,230,1031,220,63,802,10466,40,46
60193,2,4220,2530,1040,540,2210,6910,1730,157654,160259,116598,390,4871,490,347,1891,86984,50,86
60193,3,3240,1730,1080,350,1770,5800,1490,199502,201839,153429,270,6280,460,969,3126,140027,40,67
60193,4,2410,830,1350,180,1340,5320,1570,209587,211548,161625,210,4034,190,1773,4284,157581,50,130
60193,5,4250,670,3400,140,2410,11520,3870,581903,586507,459416,440,11876,500,5254,9416,475265,110,454
60193,6,1130,90,1010,30,700,3340,1200,351755,355538,236156,280,35860,0,5227,4022,313353,120,2925
60194,1,2620,1990,330,260,1360,2950,700,30820,31384,21506,90,252,90,25,418,5238,0,0
60194,2,2070,1180,490,340,1130,3620,1080,76326,77580,58370,150,2044,240,120,730,41503,30,36
60194,3,1710,880,590,190,930,3220,920,105699,106774,81832,100,1749,250,571,1779,73557,40,76
60194,4,1190,440,650,80,670,2650,810,103540,104224,79780,80,1105,130,831,1902,78144,30,97
60194,5,2090,410,1610,70,1160,5400,1710,283920,286389,217580,170,5800,240,2217,4121,232548,60,243
60194,6,480,60,410,0,310,1340,450,146208,147284,94899,110,11862,0,1820,1495,130988,40,537
60195,1,490,390,50,40,270,540,90,6278,6417,4868,30,139,30,0,0,1333,0,0
60195,2,550,380,100,60,270,830,180,20713,20974,18445,40,537,90,34,257,12266,0,0
60195,3,600,350,210,30,310,1040,230,38194,38537,35540,30,954,100,104,258,27879,0,0
60195,4,390,130,230,30,240,900,290,33539,33786,30513,0,0,30,120,232,25595,0,0
60195,5,510,110,390,0,330,1350,450,68409,68811,58945,30,971,50,345,634,56231,30,271
60195,6,90,0,80,0,60,250,80,32552,33030,20377,20,1753,0,766,320,29686,0,0
60201,1,4800,3970,240,520,2130,4660,1160,52074,53411,40712,110,-63,180,112,940,10553,120,156
60201,2,2780,1880,370,450,1260,4240,1150,101726,103399,79936,110,106,330,359,1528,57733,80,238
60201,3,1970,1260,430,220,1020,3110,720,122074,123865,84515,130,1103,290,797,2643,85184,110,529
60201,4,1500,860,470,130,860,2520,560,129896,132011,79093,130,992,120,1118,3372,97973,140,491
60201,5,3420,1250,1950,180,2090,7280,1930,488572,495838,287719,530,11280,240,6934,12500,395368,430,2625
60201,6,3760,550,3070,120,2730,10540,3770,2037580,2077369,1062485,1300,274115,0,65954,30150,1838854,970,39971
60202,1,4380,3350,310,640,2110,5050,1410,51951,53411,39049,100,-306,220,93,780,9676,60,112
60202,2,3590,2240,530,720,1680,5900,1820,131708,134236,109561,120,728,560,374,1476,74696,70,148
60202,3,2360,1350,610,310,1110,4060,1100,145662,148145,115552,130,890,480,835,2161,104042,70,231
60202,4,1700,790,670,200,820,3210,850,147332,149791,113327,110,2142,220,1259,3175,112591,60,169
60202,5,2850,720,1900,170,1490,6650,1910,396945,404192,288125,320,8764,380,4541,7819,325564,200,1097
60202,6,1650,230,1340,60,1140,4640,1670,832349,848764,433525,510,104378,0,28699,11469,744193,340,17429
60203,1,560,480,40,30,310,440,90,5491,5654,3328,0,0,0,0,186,1143,30,58
60203,2,280,180,50,40,160,430,120,10075,10277,6682,50,395,50,73,290,5476,0,0
60203,3,220,130,60,50,120,390,120,13482,13776,9193,0,0,50,100,349,9291,30,73
60203,4,190,80,80,0,110,380,110,16682,17034,10173,30,357,0,167,483,12589,0,0
60203,5,570,120,400,50,370,1470,500,82854,84643,53719,100,2125,60,1254,2220,67068,70,424
60203,6,450,40,400,0,330,1410,570,226865,232389,108096,160,35576,0,10566,3023,206739,110,4853
60301,1,300,240,20,30,120,330,60,3756,3858,3150,0,0,20,0,0,777,0,0
60301,2,290,200,30,50,120,390,80,10830,11011,8909,40,577,60,75,0,6591,0,0
60301,3,330,250,30,40,120,430,60,20407,20821,17496,0,0,130,0,321,15375,40,101
60301,4,220,130,50,20,80,330,60,19255,19371,16093,0,0,0,106,201,15523,0,0
60301,5,330,160,140,30,150,570,100,44464,45021,34391,30,1218,30,376,658,37398,0,0
60301,6,140,40,80,0,100,270,60,49191,51029,29223,40,9413,0,1052,777,44431,30,480
60302,1,3580,2990,140,400,1500,3330,710,39342,40417,29750,80,52,200,75,813,7758,60,92
60302,2,2620,1830,250,470,1060,3660,850,98408,100281,79763,90,829,550,312,1297,58616,50,104
60302,3,2230,1420,360,360,930,3400,820,137821,139871,109103,110,1488,560,738,2658,100181,60,226
60302,4,1500,730,520,200,740,2670,650,129879,131687,94816,100,640,190,1286,3741,98968,50,254
60302,5,3050,700,2030,270,1660,7480,2400,439436,446538,309691,410,9896,350,6322,11279,359201,220,1275
60302,6,2860,250,2520,80,1930,9050,3690,1450306,1479535,788547,860,214068,0,41393,20934,1322871,500,25884
60304,1,1890,1530,100,240,690,1790,420,20612,21034,16609,40,-179,120,48,438,3926,0,0
60304,2,1280,820,160,260,490,1950,530,47187,48062,38663,40,307,250,81,718,27055,40,65
60304,3,1020,560,210,190,450,1720,500,62347,63226,49312,40,248,230,395,1608,44188,30,53
60304,4,750,270,320,120,370,1590,520,65059,65932,48348,50,590,90,602,1958,48893,30,86
60304,5,1960,260,1540,130,970,5670,2180,280649,283943,219946,200,3961,280,3392,6023,230106,80,308
60304,6,1180,60,1080,40,680,4010,1760,374190,379942,288775,250,30820,0,8517,6118,336496,120,2353
60305,1,1210,1070,50,70,640,860,150,11706,12030,7878,40,-114,40,47,338,2535,50,77
60305,2,610,440,90,80,330,870,210,22924,23353,16404,40,312,80,98,580,13241,30,80
60305,3,540,360,90,80,320,820,200,33508,34069,22152,50,360,80,234,899,23748,40,116
60305,4,350,180,120,40,210,630,160,30546,31160,17955,50,722,40,241,776,23225,40,134
60305,5,910,230,620,50,590,2260,740,132505,135566,76703,180,3582,60,2125,4021,106580,120,982
60305,6,1590,130,1400,60,1200,5110,2150,1047539,1070382,521829,670,243550,0,34141,12611,957109,430,27736
60401,1,1150,890,120,110,610,1250,290,13596,13797,9933,40,158,50,0,167,2293,0,0
60401,2,820,500,180,130,460,1310,330,30122,30459,22610,0,0,80,77,362,16631,0,0
60401,3,640,310,240,80,420,1230,350,39635,40140,29621,30,226,80,201,620,27538,50,83
60401,4,520,120,340,50,340,1240,390,45047,45610,33161,20,353,60,264,770,33396,0,0
60401,5,780,120,640,40,550,2110,690,104392,105326,79151,70,1864,100,879,1432,85057,30,99
60401,6,130,0,100,0,100,360,130,40904,41473,19734,50,6024,0,755,414,33744,30,617
60402,1,10490,7070,1020,2270,5780,14740,5150,139953,141940,113081,170,473,340,108,1086,24381,40,45
60402,2,8930,4250,1690,2810,5150,17890,7350,324721,327351,290092,220,2195,840,635,2768,175722,40,72
60402,3,4730,1880,1650,1090,2830,10450,4090,289121,291200,252289,170,2654,610,1814,5465,199646,30,53
60402,4,2640,680,1540,380,1650,6660,2490,227596,229196,192941,130,1984,290,1694,4085,170062,40,126
60402,5,2780,440,2110,220,1690,7500,2620,360732,362854,294425,200,5696,440,3012,5297,293394,70,225
60402,6,330,40,260,0,200,830,240,106351,107261,67056,60,14515,0,2334,1149,91748,30,3083
60403,1,3010,2210,290,470,1380,3760,1040,38496,38924,28840,40,47,110,0,271,6764,20,28
60403,2,2490,1400,470,550,1240,4280,1340,91253,92084,72499,50,553,230,167,733,50361,0,0
60403,3,1590,710,570,280,890,3120,960,97598,98302,72672,50,638,180,487,1461,67555,30,46
60403,4,940,260,570,100,560,2170,660,80784,81302,57703,40,543,90,436,1226,60175,0,0
60403,5,1070,200,820,60,690,2670,790,139652,140410,92647,70,1399,130,867,1644,113767,50,255
60403,6,100,0,90,0,80,250,60,28309,28475,12458,20,2547,0,282,289,24633,0,0
60404,1,2500,2060,220,210,1200,2280,510,28031,28471,19946,40,90,80,0,434,4728,0,0
60404,2,1590,980,360,220,800,2560,630,58593,59319,42099,60,591,190,151,843,32106,50,81
60404,3,1190,570,390,180,680,2190,610,73814,74574,52177,60,707,160,487,1804,51164,30,54
60404,4,1140,340,660,120,690,2570,770,99883,100710,66287,80,1078,130,817,2335,74550,30,146
60404,5,2670,300,2230,130,1760,7460,2570,370266,372958,264979,260,6345,300,3255,5728,302246,100,489
60404,6,750,50,670,0,540,2280,860,256766,260474,152156,230,36073,0,4032,2902,229179,100,2027
60406,1,4670,2930,430,1250,2300,7340,2900,63226,63977,53921,30,121,150,28,204,10317,0,0
60406,2,3340,1560,580,1120,1720,6930,3030,120043,120718,108801,30,321,300,182,702,64786,0,0
60406,3,1510,610,520,360,870,3330,1300,91934,92485,80020,40,953,200,411,1099,63552,30,188
60406,4,680,190,340,130,440,1740,710,58875,59090,51716,0,0,70,448,935,44658,0,0
60406,5,560,110,390,70,360,1470,520,70918,71364,57766,50,1762,70,763,1086,57667,0,0
60406,6,50,0,30,0,40,120,30,15350,15350,8510,0,0,0,0,0,13658,0,0
60407,1,270,200,30,40,150,330,90,3366,3389,2592,0,0,0,74,0,665,0,0
60407,2,220,130,40,40,120,350,100,7934,7969,6426,0,0,0,0,0,4588,0,0
60407,3,120,50,40,30,70,230,70,7043,7160,5274,0,0,40,0,186,4983,0,0
60407,4,80,30,60,0,50,190,50,6778,6778,5408,0,0,0,0,0,5020,0,0
60407,5,120,0,100,0,80,340,120,15191,15234,12230,0,0,0,0,0,12396,0,0
60407,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60408,1,870,650,100,120,450,1010,270,10544,10656,7633,30,106,0,0,0,1882,20,52
60408,2,590,360,130,90,310,980,260,21574,21745,16289,0,0,70,0,151,11999,0,0
60408,3,440,190,190,60,260,910,280,27209,27377,21185,20,-62,50,137,267,19003,0,0
60408,4,350,90,220,30,240,840,270,30314,30582,24662,0,0,30,156,308,22939,0,0
60408,5,530,50,450,30,380,1480,500,69277,69808,57317,40,872,50,543,631,56479,0,0
60408,6,40,0,30,0,30,100,30,11239,11239,7112,0,0,0,0,0,9967,0,0
60409,1,7270,4220,400,2560,3290,11960,5100,97299,98826,81977,50,-111,190,62,434,14252,20,25
60409,2,5040,2260,560,2090,2500,9760,4200,182158,183533,160552,40,407,390,529,1863,98653,0,0
60409,3,2470,1080,450,870,1330,4680,1760,150289,151123,127392,40,987,300,1008,2817,105896,0,0
60409,4,1070,400,330,320,650,2170,770,91815,92104,73484,0,0,70,913,2153,69896,20,65
60409,5,730,200,400,130,460,1580,460,92576,92979,71714,20,-22,70,1311,2213,75576,0,0
60409,6,50,0,30,0,30,110,30,18400,18400,6921,0,0,0,0,0,16767,0,0
60410,1,1800,1550,140,100,820,1420,260,19244,19473,14895,0,0,70,0,202,3522,0,0
60410,2,1060,640,240,150,580,1730,450,39225,39697,29998,70,-7,150,94,474,21747,0,0
60410,3,860,390,330,120,500,1730,540,53795,54333,40333,50,456,120,269,896,37315,40,62
60410,4,790,180,500,80,490,1940,660,68685,69290,52247,50,273,110,406,1119,51331,0,0
60410,5,1790,160,1570,70,1180,5560,2200,244622,246180,202252,130,3546,290,1749,3013,199624,40,200
60410,6,340,0,320,0,230,1050,390,110920,111848,69680,80,11659,0,1932,1283,98253,30,1037
60411,1,10520,6070,750,3610,4960,17830,7880,141412,143417,118318,70,196,260,90,603,20972,20,38
60411,2,6800,2830,1100,2690,3700,14370,6530,244264,245776,219377,70,557,520,477,2024,128921,0,0
60411,3,3310,1260,1000,940,1910,7320,3020,201344,202554,169648,80,488,350,1206,3456,138405,30,64
60411,4,1640,500,750,350,1020,3780,1400,140794,141470,112170,40,619,140,1415,3555,104943,0,0
60411,5,1440,290,940,190,920,3510,1130,187125,188115,138700,80,1776,140,2149,4015,150834,50,359
60411,6,160,30,120,0,120,390,110,47757,48391,26206,40,2700,0,647,697,41898,0,0
60415,1,2590,1630,570,360,1620,4410,1600,34106,34950,22022,110,665,80,0,134,4680,0,0
60415,2,1780,980,430,350,1020,3340,1150,64938,65624,52221,130,2024,210,97,366,35353,0,0
60415,3,1010,500,300,180,560,1870,550,62263,62656,50510,50,1341,150,280,817,44111,40,98
60415,4,500,170,270,60,340,1140,370,43306,43514,34788,30,733,60,285,640,32795,0,0
60415,5,530,90,410,30,350,1420,470,68335,68752,57377,40,1906,80,661,843,55762,0,0
60415,6,40,0,30,0,30,110,30,11735,11735,7440,0,0,0,0,0,10194,0,0
60416,1,1340,1030,110,190,690,1450,370,15824,15962,11706,0,0,40,0,0,2715,0,0
60416,2,980,580,190,190,510,1640,480,35903,36128,27533,40,268,90,38,230,20014,30,55
60416,3,660,300,260,100,430,1320,400,40652,40972,28517,40,324,80,119,326,28151,0,0
60416,4,540,150,330,50,340,1260,390,46690,46975,35331,0,0,60,208,454,35242,0,0
60416,5,980,120,840,30,690,2860,1040,133494,134228,108496,60,610,130,791,1204,109693,30,164
60416,6,140,0,130,0,110,380,120,50430,50627,24832,30,3776,0,615,345,45984,20,313
60417,1,2410,1700,260,410,1130,3110,910,29904,30477,22406,50,55,90,38,619,4773,0,0
60417,2,1570,870,310,340,850,2700,830,58260,59066,45864,50,116,180,251,1230,31624,40,50
60417,3,1240,580,390,220,740,2320,690,76754,77409,53402,60,380,150,547,1981,52770,20,34
60417,4,970,290,500,150,630,2070,600,84598,85187,57414,50,505,90,784,2524,62268,30,40
60417,5,1290,200,990,90,830,3100,830,172776,173868,117035,100,915,150,1713,3614,139055,50,186
60417,6,310,40,260,0,240,690,140,139257,140548,53930,110,25250,0,3248,1425,117757,60,1776
60419,1,4640,2590,170,1820,1990,7840,3500,62424,63457,53723,30,101,110,55,303,9125,0,0
60419,2,3030,1350,220,1370,1410,5670,2430,109424,110184,97103,40,216,240,396,1510,59282,0,0
60419,3,1620,680,220,660,850,2900,1080,98725,99223,82540,0,0,180,927,2498,68685,0,0
60419,4,730,280,200,220,430,1370,450,62586,62747,49586,20,637,50,833,1914,47645,0,0
60419,5,480,130,270,90,300,1030,300,60244,60441,48512,0,0,50,874,1647,48548,0,0
60419,6,20,0,0,0,0,40,0,5431,5431,0,0,0,0,0,0,4801,0,0
60420,1,720,530,70,110,380,840,220,8678,8860,6253,0,0,30,0,0,1494,0,0
60420,2,510,290,110,90,300,840,230,18881,19118,14564,30,47,30,46,0,10484,0,0
60420,3,350,170,140,50,230,670,170,21695,22038,13898,40,312,40,0,170,15055,40,105
60420,4,260,70,170,0,180,590,160,22548,22745,14308,0,0,20,63,176,16697,0,0
60420,5,370,60,310,0,270,1010,320,50003,50582,34364,50,1762,50,372,489,40582,30,165
60420,6,60,0,50,0,50,150,40,17341,17848,6985,0,0,0,0,0,14925,0,0
60421,1,520,400,70,40,250,560,110,6357,6427,4521,20,145,0,30,135,1253,30,42
60421,2,390,240,90,50,200,640,170,14458,14613,10700,0,0,60,0,104,8036,0,0
60421,3,310,140,130,30,180,570,140,18889,19095,13461,30,185,30,114,328,12994,0,0
60421,4,250,70,160,40,170,540,140,21508,21660,15567,0,0,20,132,322,16179,0,0
60421,5,420,50,350,0,290,1110,350,56758,57204,41455,40,903,40,570,791,46462,30,301
60421,6,60,0,60,0,50,170,50,19833,19833,11160,20,2297,0,0,0,17706,0,0
60422,1,1230,950,70,190,560,1320,400,14058,14324,10851,20,50,60,0,320,2439,0,0
60422,2,720,430,90,170,370,1120,340,26600,27058,20632,20,-39,110,191,747,14757,30,75
60422,3,650,320,120,170,390,1150,380,41023,41468,30816,40,-293,110,548,1605,28409,0,0
60422,4,550,210,190,130,300,1100,360,48006,48479,31294,40,22,40,567,2031,35356,20,73
60422,5,1080,230,720,110,660,2700,910,151323,152798,101109,100,680,130,1932,4374,121778,50,209
60422,6,650,70,550,20,470,1790,590,292371,297883,164703,210,36717,0,7080,4276,260355,80,2663
60423,1,4160,3620,300,210,2090,3040,540,43200,43970,32646,100,89,210,59,871,8060,30,62
60423,2,2180,1460,440,240,1170,3240,680,81014,82419,60711,110,-93,360,283,1727,45419,30,44
60423,3,1770,860,590,240,1080,3240,890,109941,111753,78173,160,326,300,806,2892,76173,50,113
60423,4,1650,480,950,180,1080,3750,1150,144088,145867,102212,170,1836,180,1385,3806,106316,60,253
60423,5,4090,450,3400,180,2670,11820,4340,579295,585512,433173,580,14636,540,6748,11995,470493,190,929
60423,6,2200,140,2000,50,1620,7130,2930,903150,915418,540560,710,179796,0,20926,12276,802365,330,15354
60424,1,350,270,30,50,170,380,100,3927,3954,3109,0,0,0,0,144,614,20,80
60424,2,250,150,60,40,130,410,100,9069,9129,7048,0,0,40,0,0,5054,0,0
60424,3,140,50,60,40,70,290,90,8787,8847,6538,0,0,0,0,0,6037,0,0
60424,4,130,40,80,0,90,310,90,11379,11484,8547,0,0,30,251,0,8558,0,0
60424,5,190,20,170,0,150,530,170,25949,26209,22075,30,1801,0,0,189,21236,0,0
60424,6,20,0,20,0,20,70,20,7035,7035,0,0,0,0,0,0,5829,0,0
60425,1,1600,1070,90,410,650,2270,830,20858,21197,16936,0,0,40,0,213,3361,20,44
60425,2,1210,590,130,440,560,2200,870,44135,44485,36600,0,0,110,205,814,24095,0,0
60425,3,820,360,160,250,410,1480,500,50543,50813,39468,40,545,110,380,1323,35170,0,0
60425,4,440,140,130,150,230,850,280,37377,37503,28390,0,0,30,491,1205,28155,0,0
60425,5,430,120,260,60,250,940,260,55320,55497,38195,30,947,50,919,1634,44686,0,0
60425,6,40,0,30,0,30,100,30,11689,11689,6696,0,0,0,0,0,10257,0,0
60426,1,5380,2880,440,2020,2640,10010,4670,72632,73663,58843,30,141,90,29,187,9837,0,0
60426,2,2920,1210,420,1220,1590,6280,2950,103809,104473,91692,30,288,190,194,567,54520,0,0
60426,3,1100,430,310,340,670,2450,1050,66658,66960,54844,30,638,80,295,741,46053,0,0
60426,4,380,120,160,100,250,910,370,32773,32904,26096,0,0,30,227,512,24773,0,0
60426,5,220,60,120,40,140,550,200,29963,30036,18768,0,0,0,247,432,24228,0,0
60426,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60428,1,2650,1450,170,1000,1170,4770,2210,35824,36340,28938,20,3,50,28,221,4945,0,0
60428,2,1420,600,200,600,690,2920,1320,50786,51090,42647,30,146,80,157,677,26364,0,0
60428,3,630,260,160,190,350,1260,460,39034,39220,30591,20,260,60,273,820,26869,0,0
60428,4,310,100,110,90,210,660,240,26710,26794,21344,0,0,30,304,744,20034,0,0
60428,5,230,50,140,30,140,580,210,30569,30668,23837,0,0,0,398,688,24275,0,0
60428,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60429,1,2950,1740,140,1030,1270,4930,2210,39209,39780,31209,0,0,70,36,359,5774,20,270
60429,2,1960,940,190,750,890,3610,1470,70776,71343,59772,50,120,170,253,1105,38558,0,0
60429,3,1080,500,170,360,540,1940,690,65788,66142,50498,30,89,140,584,1867,45590,0,0
60429,4,560,210,180,150,330,1060,330,48044,48185,33469,0,0,40,595,1582,36123,0,0
60429,5,530,140,320,80,330,1190,340,69957,70308,48610,40,1218,60,994,2073,56087,0,0
60429,6,60,0,40,0,40,150,40,24627,24627,12737,0,0,0,987,461,20348,0,0
60430,1,2870,2210,170,450,1170,3190,880,33758,34462,26572,50,36,130,51,383,5981,40,55
60430,2,2050,1140,270,550,900,3430,1140,75852,76911,61599,40,308,330,258,1228,42761,0,0
60430,3,1720,770,420,440,840,3250,1120,106512,107484,83500,50,532,330,811,2622,74661,30,54
60430,4,1230,400,550,230,670,2670,890,106550,107336,80593,40,192,140,1089,2861,79870,20,52
60430,5,1880,310,1360,200,1070,4860,1630,251397,253415,188916,130,1850,310,2487,4886,203586,60,321
60430,6,360,40,300,0,250,940,290,193485,195023,63513,80,10716,0,7422,2190,159420,50,7111
60431,1,3510,2760,270,430,1460,3620,990,42096,42735,34618,30,149,160,40,466,7635,0,0
60431,2,2640,1490,480,580,1250,4550,1470,97011,97989,79685,90,764,320,393,1638,54020,40,56
60431,3,2060,930,660,400,1080,4130,1410,128085,129141,106417,80,859,330,1054,3159,89384,30,76
60431,4,1660,420,990,230,900,4220,1570,144047,145171,118617,70,858,240,1231,2940,107716,30,73
60431,5,2620,300,2180,130,1590,7740,2950,349270,351449,287577,170,3782,500,2767,4760,284631,50,277
60431,6,390,30,340,0,300,1080,350,138143,140213,73577,130,17408,0,2571,1449,122788,60,1565
60432,1,3690,2160,390,1110,1520,6390,2800,51319,51761,44865,30,100,70,0,0,8141,20,29
60432,2,2910,1180,690,990,1320,6780,3200,102661,103209,93433,40,440,160,80,315,52684,0,0
60432,3,1110,330,550,200,550,2880,1220,67048,67469,58612,30,213,100,235,634,44987,0,0
60432,4,550,140,340,70,280,1480,590,46943,47200,40370,20,420,50,283,640,35250,0,0
60432,5,470,60,370,40,300,1370,530,61572,61984,50742,50,1235,70,784,876,50246,0,0
60432,6,40,0,30,0,30,100,30,18143,18143,13078,0,0,0,0,0,16462,0,0
60433,1,3080,1920,280,850,1320,4940,2000,41116,41541,34201,30,69,60,0,94,6439,0,0
60433,2,2410,1070,520,780,1120,5190,2280,85831,86272,75090,30,157,140,80,239,45076,0,0
60433,3,960,310,420,210,500,2320,950,58690,59060,47404,50,934,80,148,431,39876,0,0
60433,4,440,120,260,70,270,1090,400,37457,37654,29108,0,0,30,159,393,28012,30,96
60433,5,440,90,350,0,280,1080,290,56246,56528,39318,40,2380,40,307,582,45408,0,0
60433,6,50,0,30,0,30,100,20,12172,12172,6389,0,0,0,215,235,10568,0,0
60435,1,8160,5730,620,1700,3620,11130,3910,106006,107222,87477,100,425,250,58,475,19188,40,28
60435,2,6430,3410,1110,1760,3060,12280,4780,233982,235936,200017,120,984,570,438,1684,129066,50,53
60435,3,3650,1630,1370,560,1980,7520,2510,224388,225988,177488,110,1826,450,1096,3068,155939,60,120
60435,4,2270,630,1370,230,1330,5490,1860,196027,197089,151017,90,1407,230,1243,2906,146513,60,134
60435,5,2820,480,2190,120,1840,7410,2400,372139,374074,265335,190,4146,350,2395,4391,303446,120,644
60435,6,350,50,300,0,270,900,260,101812,103286,47807,80,12112,0,1285,1068,89234,60,900
60436,1,3320,2180,240,870,1470,5070,2010,43957,44316,36645,30,222,80,0,92,7449,20,20
60436,2,2530,1220,460,810,1180,5200,2220,90749,91329,79015,40,202,190,124,372,48889,0,0
60436,3,1250,520,470,240,670,2740,1020,76492,76800,63095,20,208,120,240,672,53428,20,47
60436,4,640,190,380,60,390,1580,560,54716,54936,41946,20,351,60,176,445,41239,0,0
60436,5,540,100,410,20,330,1420,480,69106,69517,51408,50,1514,70,494,717,56254,20,83
60436,6,30,0,30,0,30,80,0,10754,10754,5005,0,0,0,0,0,9514,0,0
60438,1,5130,3370,400,1280,2390,7290,2650,66618,67615,52507,40,31,170,62,558,10354,20,38
60438,2,3820,1890,580,1260,1920,7110,2730,139894,141112,117090,60,319,420,388,1690,76133,0,0
60438,3,2360,1020,650,630,1300,4650,1650,145304,146365,116809,50,462,360,937,2901,101130,40,81
60438,4,1410,420,690,270,840,3190,1090,122340,122892,96798,40,412,140,1019,2488,91973,0,0
60438,5,1420,240,1040,130,900,3610,1150,183660,184639,139641,70,1709,190,1735,3256,147604,50,437
60438,6,160,0,140,0,120,390,100,45654,46033,25268,40,3115,0,738,658,39900,0,0
60439,1,3140,2670,270,160,1760,2440,400,32408,33041,21480,140,134,100,44,621,5973,40,49
60439,2,1820,1150,430,180,1060,2800,600,66873,68076,46054,190,2168,250,170,1037,36252,50,137
60439,3,1460,790,500,120,880,2550,610,89963,91484,60367,170,2005,210,451,1721,62757,50,191
60439,4,1230,410,700,100,840,2630,710,107293,108823,68692,160,3099,110,914,2589,79360,60,118
60439,5,2920,380,2360,130,1950,7990,2710,414954,419668,299148,520,13042,250,4908,8270,337587,170,1749
60439,6,1560,90,1440,30,1150,4870,1900,890918,899705,387376,570,240275,0,22641,10830,807897,250,17227
60440,1,8480,5990,840,1520,4020,11060,3860,108105,109801,89452,210,863,310,102,1011,18584,50,46
60440,2,6790,3340,1360,1900,3470,13710,5630,246529,248804,215424,230,3040,740,600,2851,132520,0,0
60440,3,3980,1610,1400,820,2070,8530,3170,245775,247922,209140,160,3334,630,1852,5495,169559,30,58
60440,4,2530,670,1480,320,1320,6140,2140,219235,220786,182292,140,2191,340,1915,5029,163037,20,66
60440,5,3360,470,2680,170,1760,9170,3140,446420,449183,366456,220,6184,550,4384,7752,362272,60,232
60440,6,560,50,490,0,340,1620,570,165278,166413,116189,110,12319,0,2486,2215,143986,40,463
60441,1,4820,3850,390,530,2270,4830,1230,56730,57638,42512,110,314,170,40,684,10408,20,29
60441,2,3260,1990,620,560,1650,5320,1490,120060,121588,96076,150,1788,450,302,1620,67589,40,76
60441,3,2500,1280,780,370,1410,4660,1390,154836,156411,121624,120,2048,410,1145,3714,109027,40,90
60441,4,1910,560,1100,220,1130,4410,1410,165742,167077,129734,130,2013,230,1465,3750,124053,50,102
60441,5,3760,410,3130,190,2350,11060,4170,512107,515408,421206,320,7642,650,4438,7873,418509,80,412
60441,6,740,50,680,0,510,2410,990,233797,235470,153552,170,22236,0,3325,2732,199419,60,801
60442,1,1320,1120,90,100,650,1040,220,13933,14141,10885,30,34,60,0,287,2545,30,30
60442,2,860,550,150,110,450,1300,320,31730,32446,26311,30,4,150,122,458,18348,0,0
60442,3,690,310,250,120,410,1350,410,43403,44157,33539,40,417,130,321,1093,29988,30,102
60442,4,650,160,420,70,430,1620,550,57309,58030,44543,50,792,80,474,1236,42516,0,0
60442,5,1620,140,1400,70,1090,5090,2070,221757,223558,186641,130,2422,300,1940,3326,181088,50,220
60442,6,310,0,280,0,230,960,380,100044,101552,64653,90,16264,0,1824,1215,87914,30,1125
60443,1,3560,2320,250,930,1530,5130,1910,45293,46000,38051,40,-33,120,40,563,7004,20,30
60443,2,2530,1280,340,810,1190,4520,1670,92359,93326,76740,40,335,300,359,1925,49963,0,0
60443,3,1780,770,360,560,880,3270,1130,109788,110536,85475,50,103,280,1135,3850,75816,0,0
60443,4,1150,410,350,320,620,2230,730,99475,100046,74476,30,219,90,1518,4107,74205,20,155
60443,5,1380,270,850,230,790,3230,1010,184171,185002,136185,80,1064,170,3162,6767,145860,0,0
60443,6,180,20,140,0,140,490,160,48255,48423,34725,30,1282,0,1370,1342,41502,0,0
60444,1,260,180,30,50,160,320,100,3027,3092,2378,20,-106,20,0,0,480,0,0
