zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,A02650,A00200,N26270,A26270,N03210,A18425,A18300,A04800,N12000,A12000
62839,5,290,30,260,0,230,780,250,36839,37333,22479,60,2622,20,181,232,29415,30,235
62839,6,40,0,30,0,30,90,0,11974,12284,3902,0,0,0,0,0,10469,0,0
62842,1,120,80,20,20,90,160,40,1474,1502,1115,0,0,0,0,0,231,0,0
62842,2,80,60,20,0,60,150,50,2880,2880,2296,0,0,0,0,0,1537,0,0
62842,3,50,0,40,0,40,140,50,3031,3124,2557,0,0,0,0,0,1947,0,0
62842,4,40,0,40,0,40,110,30,3648,3648,2332,0,0,0,0,0,2593,0,0
62842,5,40,0,40,0,40,120,40,6175,6238,3604,0,0,0,0,0,4856,0,0
62842,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62844,1,310,200,60,50,180,450,130,3674,3712,2755,0,0,20,0,0,515,0,0
62844,2,230,110,80,50,160,410,110,8434,8558,6553,0,0,0,0,0,4379,0,0
62844,3,120,40,70,0,90,260,80,7289,7352,5397,0,0,20,0,0,4895,0,0
62844,4,90,30,70,0,80,230,60,8147,8204,6100,0,0,0,0,0,6026,0,0
62844,5,100,0,100,0,90,300,100,16010,16121,8442,0,0,0,0,0,13166,0,0
62844,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62846,1,110,80,0,0,50,140,30,1335,1335,897,0,0,0,0,0,199,0,0
62846,2,70,50,40,40,30,150,60,2551,2607,2016,0,0,0,0,0,1276,0,0
62846,3,50,0,30,0,30,120,30,3176,3176,2520,0,0,0,0,0,2053,0,0
62846,4,40,0,30,0,40,100,60,3043,3129,3882,0,0,0,0,0,2203,0,0
62846,5,20,0,20,0,0,60,0,3507,3507,0,0,0,0,0,0,2818,0,0
62846,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62849,1,330,220,70,40,210,420,100,4000,4028,2806,0,0,0,0,0,608,0,0
62849,2,210,100,90,40,140,440,140,7710,7777,5891,20,943,30,0,0,3852,30,12
62849,3,170,30,120,0,130,410,120,10289,10365,8276,0,0,0,0,0,6588,0,0
62849,4,120,20,110,0,80,340,120,10500,10568,8573,0,0,30,0,0,7640,20,14
62849,5,110,0,100,0,100,330,110,17211,17498,11924,0,0,0,0,0,13962,0,0
62849,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62850,1,60,30,20,0,50,130,50,768,768,357,0,0,0,0,0,0,0,0
62850,2,30,20,20,0,40,70,30,1067,1067,1414,0,0,0,0,0,660,0,0
62850,3,20,0,0,0,0,60,30,1335,1467,0,0,0,0,0,0,832,0,0
62850,4,30,0,30,0,30,100,40,3297,3297,1420,0,0,0,0,0,2280,0,0
62850,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62850,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62851,1,50,30,0,0,30,60,30,610,610,410,0,0,0,0,0,0,0,0
62851,2,40,30,40,0,40,60,0,1411,1456,1869,0,0,0,0,0,841,0,0
62851,3,20,0,0,0,0,60,20,1351,1351,0,0,0,0,0,0,863,0,0
62851,4,40,0,30,0,30,90,30,3850,3850,2002,0,0,0,0,0,2901,0,0
62851,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62851,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62853,1,160,110,30,20,80,200,40,2032,2056,1344,0,0,0,0,0,379,20,12
62853,2,110,50,40,20,70,210,60,3904,3924,3092,0,0,0,0,0,1957,0,0
62853,3,80,40,50,0,50,170,50,4457,4457,3699,0,0,0,0,0,2935,0,0
62853,4,50,0,40,0,40,130,40,4386,4416,3578,0,0,0,0,0,3186,0,0
62853,5,50,0,50,0,40,130,30,7553,7553,4527,0,0,0,0,0,6244,0,0
62853,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62854,1,320,230,50,40,200,390,100,3813,3872,3186,30,126,20,0,0,635,0,0
62854,2,200,80,80,40,140,400,120,7238,7338,5840,0,0,0,0,0,3526,0,0
62854,3,100,40,70,0,90,240,80,6113,6169,4640,0,0,0,0,0,4009,40,25
62854,4,80,0,60,0,60,200,60,6735,6815,4388,20,103,0,0,0,4847,0,0
62854,5,80,0,70,0,60,210,60,10311,10400,4633,0,0,0,0,0,8270,0,0
62854,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62858,1,460,320,70,60,270,590,170,5436,5498,4481,0,0,30,0,0,836,0,0
62858,2,320,150,120,60,230,620,180,11912,12030,8596,30,42,0,0,0,5928,0,0
